"date","geography","geography code","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"2011","Wychavon","E07000238","Total",58268,6104,11419,31670,9075,30792,1656,2642,19331,7163,27476,4448,8777,12339,1912
"2011","Wyre Forest","E07000239","Total",46339,4423,9727,26226,5963,24436,1294,2379,16110,4653,21903,3129,7348,10116,1310
"2011","Bedford","E06000055","Total",75810,7705,14080,43713,10312,39894,2428,3569,25889,8008,35916,5277,10511,17824,2304
"2011","Central Bedfordshire","E06000056","Total",132061,12503,22687,77141,19730,70218,3372,4811,46417,15618,61843,9131,17876,30724,4112
"2011","Luton","E06000032","Total",89201,8474,17630,54210,8887,49657,3177,6576,32943,6961,39544,5297,11054,21267,1926
"2011","Peterborough","E06000031","Total",88044,7109,16718,54376,9841,47740,2370,4589,33056,7725,40304,4739,12129,21320,2116
"2011","Southend-on-Sea","E06000033","Total",81339,8211,15639,46349,11140,43401,2483,4091,28187,8640,37938,5728,11548,18162,2500
"2011","Thurrock","E06000034","Total",77420,6674,13907,46749,10090,41616,1750,3206,28398,8262,35804,4924,10701,18351,1828
"2011","Cambridge","E07000008","Total",59437,6265,9818,34795,8559,32001,2389,3067,20629,5916,27436,3876,6751,14166,2643
"2011","East Cambridgeshire","E07000009","Total",43919,4251,7663,25151,6854,23497,1107,1649,15270,5471,20422,3144,6014,9881,1383
"2011","Fenland","E07000010","Total",44514,3992,8215,25834,6473,23976,1146,1872,15679,5279,20538,2846,6343,10155,1194
"2011","Huntingdonshire","E07000011","Total",88991,8248,15375,52393,12975,47565,2360,3407,31428,10370,41426,5888,11968,20965,2605
"2011","South Cambridgeshire","E07000012","Total",79139,8113,13757,45466,11803,42244,2316,3144,27590,9194,36895,5797,10613,17876,2609
"2011","Basildon","E07000066","Total",83006,8125,14723,48769,11389,44182,2113,3279,29582,9208,38824,6012,11444,19187,2181
"2011","Braintree","E07000067","Total",74200,7557,13531,41701,11411,39557,1949,2934,25563,9111,34643,5608,10597,16138,2300
"2011","Brentwood","E07000068","Total",36251,3716,6172,20031,6332,19281,1006,1431,11956,4888,16970,2710,4741,8075,1444
"2011","Castle Point","E07000069","Total",41443,4379,7866,23353,5845,22405,1108,1756,14719,4822,19038,3271,6110,8634,1023
"2011","Chelmsford","E07000070","Total",86451,9182,15368,48839,13062,45966,2508,3564,29635,10259,40485,6674,11804,19204,2803
"2011","Colchester","E07000071","Total",85587,9680,16139,46946,12822,45396,2930,3703,28589,10174,40191,6750,12436,18357,2648
"2011","Epping Forest","E07000072","Total",61609,6252,10809,34460,10088,32614,1742,2741,20275,7856,28995,4510,8068,14185,2232
"2011","Harlow","E07000073","Total",40401,3687,7402,24832,4480,21208,1102,1680,14846,3580,19193,2585,5722,9986,900
"2011","Maldon","E07000074","Total",30292,3457,5615,16254,4966,16463,909,1290,10204,4060,13829,2548,4325,6050,906
"2011","Rochford","E07000075","Total",40662,4433,7590,22730,5909,21895,1072,1705,14297,4821,18767,3361,5885,8433,1088
"2011","Tendring","E07000076","Total",54857,6128,12202,29013,7514,28794,1762,3050,18020,5962,26063,4366,9152,10993,1552
"2011","Uttlesford","E07000077","Total",40772,4692,7142,21534,7404,22004,1279,1616,13225,5884,18768,3413,5526,8309,1520
"2011","Broxbourne","E07000095","Total",46222,4346,8650,27093,6133,24280,1133,1992,16212,4943,21942,3213,6658,10881,1190
"2011","Dacorum","E07000096","Total",73437,7377,12773,42097,11190,38945,2177,3004,25223,8541,34492,5200,9769,16874,2649
"2011","East Hertfordshire","E07000242","Total",72225,7409,12056,40776,11984,38402,1940,2643,24577,9242,33823,5469,9413,16199,2742
"2011","Hertsmere","E07000098","Total",49428,5115,9013,27736,7564,25930,1397,2255,16418,5860,23498,3718,6758,11318,1704
